"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
60	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	2.39587e-13
70	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	"bulk"	"X"	0	0	0	4.66545e-13	0	0	0	0	0	0	0	0
70	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
70	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	2.83149e-13
80	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	"bulk"	"X"	0	0	0	5.38322e-13	0	0	0	0	0	0	0	0
80	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
80	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	3.2671e-13
90	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	"bulk"	"X"	0	0	0	6.10098e-13	0	0	0	0	0	0	0	0
90	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
90	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
90	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	3.70271e-13
100	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	"bulk"	"X"	0	0	0	6.81874e-13	0	0	0	0	0	0	0	0
100	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
100	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
100	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	4.13833e-13
110	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	"bulk"	"X"	0	0	0	7.5365e-13	0	0	0	0	0	0	0	0
110	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
110	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
110	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	4.57394e-13
120	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	"bulk"	"X"	0	0	0	8.25427e-13	0	0	0	0	0	0	0	0
120	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
120	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
120	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	5.00955e-13
130	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	"bulk"	"X"	0	0	0	8.97203e-13	0	0	0	0	0	0	0	0
130	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
130	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
130	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	5.44517e-13
140	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	"bulk"	"X"	0	0	0	9.68979e-13	0	0	0	0	0	0	0	0
140	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
140	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
140	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	5.88078e-13
150	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	"bulk"	"X"	0	0	0	1.04076e-12	0	0	0	0	0	0	0	0
150	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
150	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
150	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	6.31639e-13
160	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	"bulk"	"X"	0	0	0	1.11253e-12	0	0	0	0	0	0	0	0
160	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
160	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
160	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	6.75201e-13
170	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	"bulk"	"X"	0	0	0	1.18431e-12	0	0	0	0	0	0	0	0
170	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
170	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
170	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	7.18762e-13
180	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	"bulk"	"X"	0	0	0	1.25608e-12	0	0	0	0	0	0	0	0
180	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
180	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
180	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
